Name,Set,Card Number,Color,Rarity,Card Type,Property
Flotsam - Riffraff,3,72,Emerald,Common,Character,Little Mermaid
Friar Tuck - Priest Of Nottingham,3,73,Emerald,Uncommon,Character,Robin Hood
Helga Sinclair - Femme Fatale,3,74,Emerald,Super Rare,Character,Atlantis
Helga Sinclair - Vengeful Partner,3,75,Emerald,Rare,Character,Atlantis
Jetsam - Riffraff,3,76,Emerald,Common,Character,Aladdin
Kit Cloudkicker - Tough Guy,3,77,Emerald,Uncommon,Character,TaleSpin
Lyle Tiberius Rourke - Cunning Mercenary,3,78,Emerald,Super Rare,Character,Atlantis
Milo Thatch - Clever Cartographer,3,79,Emerald,Common,Character,Atlantis
Milo Thatch - King of Atlantis,3,80,Emerald,Legendary,Character,Atlantis
Morph - Space Goo,3,81,Emerald,Rare,Character,Treasure Planet
Peter Pan - Lost Boy Leader,3,82,Emerald,Rare,Character,Peter Pan
Prince John - Phony King,3,83,Emerald,Uncommon,Character,Robin Hood
Robin Hood - Daydreamer,3,84,Emerald,Rare,Character,Robin Hood
Shenzi - Hyena Pack Leader,3,85,Emerald,Super Rare,Character,Lion King
Sir Hiss - Aggravating Asp,3,86,Emerald,Common,Character,Robin Hood
Skippy - Energetic Rabbit,3,87,Emerald,Common,Character,Robin Hood
Starkey - Devious Pirate,3,88,Emerald,Uncommon,Character,Peter Pan
Stitch - Covert Agent,3,89,Emerald,Rare,Character,Lilo and Stitch
Ursula - Deceiver,3,90,Emerald,Uncommon,Character,Little Mermaid
Ursula - Deceiver of All,3,91,Emerald,Legendary,Character,Little Mermaid
Wildcat - Mechanic,3,92,Emerald,Uncommon,Character,TaleSpin
Zazu - Steward of the Pride Lands,3,93,Emerald,Common,Character,Lion King
Ariel - Adventurous Collector,3,103,Ruby,Super Rare,Character,Little Mermaid
Billy Bones - Keeper of the Map,3,104,Ruby,Common,Character,Treasure Planet
Captain Hook - Master Swordsman,3,105,Ruby,Rare,Character,Peter Pan
Della Duck - Unstoppable Mom,3,106,Ruby,Common,Character,DuckTales
HeiHei - Accidental Explorer,3,107,Ruby,Uncommon,Character,Moana
Hydra - Deadly Serpent,3,108,Ruby,Legendary,Character,Hercules
Jim Hawkins - Space Traveler,3,109,Ruby,Legendary,Character,Treasure Planet
Jim Hawkins - Thrill Seeker,3,110,Ruby,Common,Character,Treasure Planet
Kakamora - Menacing Sailor,3,111,Ruby,Common,Character,Moana
Madame Medusa - The Boss,3,112,Ruby,Super Rare,Character,Rescuers
Maui - Soaring Demigod,3,113,Ruby,Uncommon,Character,Moana
Maui - Whale,3,114,Ruby,Rare,Character,Moana
Milo Thatch - Spirited Scholar,3,115,Ruby,Common,Character,Atlantis
Moana - Born Leader,3,116,Ruby,Rare,Character,Moana
Moana - Undeterred Voyager,3,117,Ruby,Common,Character,Moana
Nutsy - Vulture Henchman,3,118,Ruby,Common,Character,Robin Hood
Peter Pan - Never Land Hero,3,119,Ruby,Common,Character,Peter Pan
Peter Pan - Pirate's Bane,3,120,Ruby,Rare,Character,Peter Pan
Prince Eric - Expert Helmsman,3,121,Ruby,Super Rare,Character,Little Mermaid
Scroop - Backstabber,3,122,Ruby,Uncommon,Character,Treasure Planet
Simba - Scrappy Cub,3,123,Ruby,Rare,Character,Lion King
Slightly - Lost Boy,3,124,Ruby,Uncommon,Character,Peter Pan
Stitch - Little Rocket,3,125,Ruby,Common,Character,Lilo and Stitch
Trigger - Not-So-Sharp Shooter,3,126,Ruby,Uncommon,Character,Robin Hood
Webby Vanderquack - Enthusiastic Duck,3,127,Ruby,Common,Character,DuckTales
Audrey Ramirez - The Engineer,3,137,Sapphire,Rare,Character,Atlantis
Captain Amelia - First In Command,3,138,Sapphire,Common,Character,Treasure Planet
Dewey - Showy Nephew,3,139,Sapphire,Uncommon,Character,DuckTales
Flintheart Glomgold - Lone Cheater,3,140,Sapphire,Uncommon,Character,DuckTales
Genie - Cramped in the Lamp,3,141,Sapphire,Uncommon,Character,Aladdin
Gramma Tala - Keeper of Ancient Stories,3,142,Sapphire,Common,Character,Moana
Gramma Tala - Spirit of the Ocean,3,143,Sapphire,Legendary,Character,Moana
Gyro Gearloose - Gadget Whiz,3,144,Sapphire,Rare,Character,DuckTales
Huey - Savvy Nephew,3,145,Sapphire,Rare,Character,DuckTales
King Louie - Bandleader,3,146,Sapphire,Common,Character,TaleSpin
Kit Cloudkicker - Navigator,3,147,Sapphire,Uncommon,Character,TaleSpin
Kit Cloudkicker - Spunky Bear Cub,3,148,Sapphire,Common,Character,TaleSpin
Louie - Chill Nephew,3,149,Sapphire,Common,Character,DuckTales
Maid Marian - Delightful Dreamer,3,150,Sapphire,Common,Character,Robin Hood
Mama Odie - Mystical Maven,3,151,Sapphire,Rare,Character,Princess and the Frog
Pluto - Mickey's Clever Friend,3,152,Sapphire,Common,Character,Classic Disney
Rufus - Orphanage Cat,3,153,Sapphire,Common,Character,Rescuers
Scrooge McDuck - Richest Duck in the World,3,154,Sapphire,Super Rare,Character,DuckTales
Scrooge Mcduck - Uncle Moneybags,3,155,Sapphire,Uncommon,Character,DuckTales
The Queen - Mirror Seeker,3,156,Sapphire,Uncommon,Character,Snow White
Tinker Bell - Very Clever Fairy,3,157,Sapphire,Super Rare,Character,Peter Pan
Wendy Darling - Authority on Peter Pan,3,158,Sapphire,Super Rare,Character,Peter Pan
Chief Tui - Proud of Motunui,3,171,Steel,Common,Character,Moana
Eeyore - Overstuffed Donkey,3,172,Steel,Common,Character,Winnie the Pooh
Gustav The Giant - Terror of the Kingdom,3,173,Steel,Rare,Character,Classic Disney
Hades - Hotheaded Ruler,3,174,Steel,Rare,Character,Hercules
Helga Sinclair - Right-Hand Woman,3,175,Steel,Common,Character,Atlantis
John Silver - Greedy Treasure Seeker,3,176,Steel,Rare,Character,Treasure Planet
Kida - Royal Warrior,3,177,Steel,Common,Character,Atlantis
Little John - Resourceful Outlaw,3,178,Steel,Super Rare,Character,Robin Hood
Little John - Robin's Pal,3,179,Steel,Uncommon,Character,Robin Hood
Lythos - Rock Titan,3,180,Steel,Uncommon,Character,Hercules
Mickey Mouse - Stalwart Explorer,3,181,Steel,Common,Character,Classic Disney
Mickey Mouse - Trumpeter,3,182,Steel,Legendary,Character,Classic Disney
Minnie Mouse - Funky Spelunker,3,183,Steel,Common,Character,Classic Disney
Mr. Smee - Bumbling Mate,3,184,Steel,Uncommon,Character,Peter Pan
Mufasa - Champion of the Pride Lands,3,185,Steel,Rare,Character,Lion King
Nala - Fierce Friend,3,186,Steel,Uncommon,Character,Lion King
Pyros - Lava Titan,3,187,Steel,Rare,Character,Hercules
Razoul - Palace Guard,3,188,Steel,Common,Character,Aladdin
Robin Hood - Beloved Outlaw,3,189,Steel,Common,Character,Robin Hood
Robin Hood - Champion of Sherwood,3,190,Steel,Legendary,Character,Robin Hood
Sheriff of Nottingham - Corrupt Official,3,191,Steel,Super Rare,Character,Robin Hood
Simba - Fighting Prince,3,192,Steel,Super Rare,Character,Lion King
Simba - Rightful King,3,193,Steel,Uncommon,Character,Lion King
Thaddeus E. Klang - Metallic Leader,3,194,Steel,Uncommon,Character,TaleSpin
Piglet - Pooh Pirate Captain,3,223,Amber,Super Rare,Character,Winnie the Pooh
Agustin Madrigal - Clumsy Dad,4,1,Amber,Common,Character,Encanto
Alma Madrigal - Family Matriarch,4,2,Amber,Rare,Character,Encanto
Ariel - Singing Mermaid,4,3,Amber,Rare,Character,Little Mermaid
Cinderella - Melody Weaver,4,4,Amber,Legendary,Character,Cinderella
Cogsworth - Majordomo,4,5,Amber,Common,Character,Beauty and the Beast
Daisy Duck - Lovely Lady,4,6,Amber,Uncommon,Character,Classic Disney
Daisy Duck - Musketeer Spy,4,7,Amber,Common,Character,Classic Disney
Donald Duck - Musketeer Soldier,4,8,Amber,Uncommon,Character,Classic Disney
Félix Madrigal - Fun-Loving Family Man,4,9,Amber,Uncommon,Character,Encanto
Gaston - Despicable Dealer,4,10,Amber,Super Rare,Character,Beauty and the Beast
Golden Harp - Enchanter of the Land,4,11,Amber,Rare,Character,Classic Disney
Goofy - Musketeer Swordsman,4,12,Amber,Rare,Character,Classic Disney
Julieta Madrigal - Excellent Cook,4,13,Amber,Uncommon,Character,Encanto
Max - Loyal Sheepdog,4,14,Amber,Common,Character,Little Mermaid
Mickey Mouse - Leader of the Band,4,15,Amber,Uncommon,Character,Classic Disney
Mickey Mouse - Musketeer Captain,4,16,Amber,Legendary,Character,Classic Disney
Minnie Mouse - Musketeer Champion,4,17,Amber,Super Rare,Character,Classic Disney
Mirabel Madrigal - Gift of the Family,4,18,Amber,Super Rare,Character,Encanto
Mirabel Madrigal - Prophecy Finder,4,19,Amber,Common,Character,Encanto
Pluto - Rescue Dog,4,20,Amber,Common,Character,Classic Disney
Prince Eric - Seafaring Prince,4,21,Amber,Common,Character,Little Mermaid
Prince Eric - Ursula's Groom,4,22,Amber,Uncommon,Character,Little Mermaid
Stitch - Alien Dancer,4,23,Amber,Common,Character,Lilo and Stitch
Ursula - Eric's Bride,4,24,Amber,Rare,Character,Little Mermaid
Ursula - Vanessa,4,25,Amber,Common,Character,Little Mermaid
Antonio Madrigal - Animal Expert,4,35,Amethyst,Uncommon,Character,Encanto
Belle - Accomplished Mystic,4,36,Amethyst,Super Rare,Character,Beauty and the Beast
Belle - Untrained Mystic,4,37,Amethyst,Common,Character,Beauty and the Beast
Bruno Madrigal - Out of the Shadows,4,38,Amethyst,Rare,Character,Encanto
Bruno Madrigal - Undetected Uncle,4,39,Amethyst,Super Rare,Character,Encanto
Camilo Madrigal - Prankster,4,40,Amethyst,Uncommon,Character,Encanto
Dolores Madrigal - Easy Listener,4,41,Amethyst,Common,Character,Encanto
Elsa - Storm Chaser,4,42,Amethyst,Rare,Character,Frozen
Flotsam - Ursula's Baby,4,43,Amethyst,Uncommon,Character,Little Mermaid
Flotsam and Jetsam - Entangling Eels,4,44,Amethyst,Uncommon,Character,Little Mermaid
Isabela Madrigal - Golden Child,4,45,Amethyst,Rare,Character,Encanto
Jetsam - Ursula's Baby,4,46,Amethyst,Common,Character,Little Mermaid
Luisa Madrigal - Magically Strong One,4,47,Amethyst,Common,Character,Encanto
Magic Broom - Illuminary Keeper,4,48,Amethyst,Common,Character,Fantasia
Magic Broom - Lively Sweeper,4,49,Amethyst,Common,Character,Fantasia
Magical Maid - Feather Duster,4,50,Amethyst,Uncommon,Character,Fantasia
Marshmallow - Terrifying Snowman,4,51,Amethyst,Uncommon,Character,Frozen
Mrs. Potts - Enchanted Teapot,4,52,Amethyst,Rare,Character,Beauty and the Beast
Pepa Madrigal - Weather Maker,4,53,Amethyst,Rare,Character,Encanto
Peter Pan - Shadow Finder,4,54,Amethyst,Super Rare,Character,Peter Pan
Pico - Helpful Toucan,4,55,Amethyst,Common,Character,Encanto
Tick-Tock - Ever-Present Pursuer,4,56,Amethyst,Common,Character,Peter Pan
Ursula - Mad Sea Witch,4,57,Amethyst,Uncommon,Character,Little Mermaid
Ursula - Sea Witch Queen,4,58,Amethyst,Legendary,Character,Little Mermaid
Yen Sid - Powerful Sorcerer,4,59,Amethyst,Legendary,Character,Fantasia
Cri-Kee - Lucky Cricket,4,69,Emerald,Rare,Character,Mulan
Diablo - Devoted Herald,4,70,Emerald,Legendary,Character,Sleeping Beauty
Diablo - Maleficent's Spy,4,71,Emerald,Common,Character,Sleeping Beauty
Gunther - Interior Designer,4,72,Emerald,Common,Character,Tangled
Gus - Champion of Cheese,4,73,Emerald,Common,Character,Cinderella
Hades - Double Dealer,4,74,Emerald,Legendary,Character,Hercules
HeiHei - Bumbling Rooster,4,75,Emerald,Uncommon,Character,Moana
Hera - Queen of the Gods,4,76,Emerald,Rare,Character,Hercules
Jaq - Connoisseur of Climbing,4,77,Emerald,Common,Character,Cinderella
Jasmine - Desert Warrior,4,78,Emerald,Rare,Character,Aladdin
Megara - Captivating Cynic,4,79,Emerald,Common,Character,Hercules
Megara - Liberated One,4,80,Emerald,Uncommon,Character,Hercules
Pain - Immortal Sidekick,4,81,Emerald,Uncommon,Character,Hercules
Panic - Immortal Sidekick,4,82,Emerald,Uncommon,Character,Hercules
Pegasus - Cloud Racer,4,83,Emerald,Uncommon,Character,Hercules
Pegasus - Gift for Hercules,4,84,Emerald,Common,Character,Hercules
Pete - Born to Cheat,4,85,Emerald,Super Rare,Character,Classic Disney
Pete - Rotten Guy,4,86,Emerald,Uncommon,Character,Classic Disney
Prince Phillip - Vanquisher of Foes,4,87,Emerald,Super Rare,Character,Sleeping Beauty
Prince Phillip - Warden of the Woods,4,88,Emerald,Rare,Character,Sleeping Beauty
The Fates - Only One Eye,4,89,Emerald,Common,Character,Hercules
The Muses - Proclaimers of Heroes,4,90,Emerald,Rare,Character,Hercules
Tor - Florist,4,91,Emerald,Common,Character,Tangled
Zeus - Mr. Lightning Bolts,4,92,Emerald,Super Rare,Character,Hercules
Beast - Wounded,4,103,Ruby,Uncommon,Character,Beauty and the Beast
Benja - Bold Uniter,4,104,Ruby,Common,Character,Raya and the Last Dragon
Fa Zhou - Mulan's Father,4,105,Ruby,Common,Character,Mulan
Flynn Rider - Frenemy,4,106,Ruby,Super Rare,Character,Tangled
Goofy - Super Goof,4,107,Ruby,Rare,Character,Classic Disney
Hercules - Clumsy Kid,4,108,Ruby,Common,Character,Hercules
Hercules - Daring Demigod,4,109,Ruby,Uncommon,Character,Hercules
Khan - Beloved Steed,4,110,Ruby,Uncommon,Character,Mulan
Li Shang - General's Son,4,111,Ruby,Common,Character,Mulan
Li Shang - Valorous General,4,112,Ruby,Uncommon,Character,Mulan
Lumiere - Fiery Friend,4,113,Ruby,Rare,Character,Beauty and the Beast
Mulan - Elite Archer,4,114,Ruby,Legendary,Character,Mulan
Mulan - Enemy of Entanglement,4,115,Ruby,Uncommon,Character,Mulan
Mulan - Injured Soldier,4,116,Ruby,Common,Character,Mulan
Namaari - Heir of Fang,4,117,Ruby,Rare,Character,Raya and the Last Dragon
Nessus - River Guardian,4,118,Ruby,Uncommon,Character,Hercules
Noi - Acrobatic Baby,4,119,Ruby,Super Rare,Character,Raya and the Last Dragon
Pegasus - Flying Steed,4,120,Ruby,Common,Character,Hercules
Raya - Fierce Protector,4,121,Ruby,Super Rare,Character,Raya and the Last Dragon
Raya - Guardian of the Dragon Gem,4,122,Ruby,Common,Character,Raya and the Last Dragon
Sisu - Daring Visitor,4,123,Ruby,Uncommon,Character,Raya and the Last Dragon
Sisu - Emboldened Warrior,4,124,Ruby,Rare,Character,Raya and the Last Dragon
Sisu - Empowered Sibling,4,125,Ruby,Legendary,Character,Raya and the Last Dragon
Tong - Survivor,4,126,Ruby,Common,Character,Raya and the Last Dragon
Tuk Tuk - Lively Partner,4,127,Ruby,Rare,Character,Raya and the Last Dragon
Anna - Braving the Storm,4,137,Sapphire,Common,Character,Frozen
Anna - True-Hearted,4,138,Sapphire,Super Rare,Character,Frozen
Ariel - Treasure Collector,4,139,Sapphire,Super Rare,Character,Little Mermaid
Aurora - Lore Guardian,4,140,Sapphire,Super Rare,Character,Sleeping Beauty
Aurora - Tranquil Princess,4,141,Sapphire,Common,Character,Sleeping Beauty
Dang Hu - Talon Chief,4,142,Sapphire,Rare,Character,Raya and the Last Dragon
Fa Li - Mulan's Mother,4,143,Sapphire,Common,Character,Mulan
Flounder - Collector's Companion,4,144,Sapphire,Uncommon,Character,Little Mermaid
Hades - Meticulous Plotter,4,145,Sapphire,Uncommon,Character,Hercules
Hans - Noble Scoundrel,4,146,Sapphire,Common,Character,Frozen
Iduna - Caring Mother,4,147,Sapphire,Uncommon,Character,Frozen
John Silver - Terror of the Realm,4,148,Sapphire,Rare,Character,Treasure Planet
Olaf - Carrot Enthusiast,4,149,Sapphire,Uncommon,Character,Frozen
Olaf - Trusting Companion,4,150,Sapphire,Common,Character,Frozen
Pascal - Inquisitive Pet,4,151,Sapphire,Common,Character,Tangled
Prince Phillip - Gallant Defender,4,152,Sapphire,Rare,Character,Sleeping Beauty
Rapunzel - Appreciative Artist,4,153,Sapphire,Rare,Character,Tangled
Scuttle - Expert on Humans,4,154,Sapphire,Uncommon,Character,Little Mermaid
Sisu - Wise Friend,4,155,Sapphire,Uncommon,Character,Raya and the Last Dragon
The Queen - Diviner,4,156,Sapphire,Legendary,Character,Snow White
Transformed Chef - Castle Stove,4,157,Sapphire,Common,Character,Beauty and the Beast
Triton - Champion of Atlantica,4,158,Sapphire,Legendary,Character,Little Mermaid
Triton - Discerning King,4,159,Sapphire,Rare,Character,Little Mermaid
Triton - Young Prince,4,160,Sapphire,Uncommon,Character,Little Mermaid
Tuk Tuk - Curious Partner,4,161,Sapphire,Common,Character,Raya and the Last Dragon
Aladdin - Brave Rescuer,4,171,Steel,Uncommon,Character,Aladdin
Aladdin - Resolute Swordsman,4,172,Steel,Common,Character,Aladdin
Arges - The Cyclops,4,173,Steel,Common,Character,Hercules
Ariel - Determined Mermaid,4,174,Steel,Common,Character,Little Mermaid
Ariel - Sonic Warrior,4,175,Steel,Super Rare,Character,Little Mermaid
Beast - Thick-Skinned,4,176,Steel,Common,Character,Beauty and the Beast
Chi-Fu - Imperial Advisor,4,177,Steel,Uncommon,Character,Mulan
Chien-Po - Imperial Soldier,4,178,Steel,Common,Character,Mulan
Donald Duck - Buccaneer,4,179,Steel,Legendary,Character,Classic Disney
Hercules - Beloved Hero,4,180,Steel,Rare,Character,Hercules
LeFou - Opportunistic Flunky,4,181,Steel,Rare,Character,Beauty and the Beast
Li Shang - Imperial Captain,4,182,Steel,Uncommon,Character,Mulan
Ling - Imperial Soldier,4,183,Steel,Uncommon,Character,Mulan
Luisa Madrigal - Rock of the Family,4,184,Steel,Common,Character,Encanto
Magic Broom - Aerial Cleaner,4,185,Steel,Common,Character,Fantasia
Magic Broom - Brigade Commander,4,186,Steel,Super Rare,Character,Fantasia
Mickey Mouse - Playful Sorcerer,4,187,Steel,Rare,Character,Classic Disney
Mickey Mouse - Standard Bearer,4,188,Steel,Common,Character,Classic Disney
Mulan - Armored Fighter,4,189,Steel,Uncommon,Character,Mulan
Philoctetes - No-Nonsense Instructor,4,190,Steel,Rare,Character,Hercules
Piglet - Sturdy Swordsman,4,191,Steel,Legendary,Character,Winnie the Pooh
Rajah - Royal Protector,4,192,Steel,Rare,Character,Aladdin
Raya - Unstoppable Force,4,193,Steel,Super Rare,Character,Raya and the Last Dragon
Yao - Imperial Soldier,4,194,Steel,Common,Character,Mulan
Mickey Mouse - Playful Sorcerer,4,225,Steel,Rare,Character,Classic Disney
Koda - Talkative Cub,5,1,Amber,Rare,Character,Brother Bear
Nala - Mischievous Cub,5,2,Amber,Uncommon,Character,Lion King
Prince Naveen - Ukulele Player,5,3,Amber,Legendary,Character,Princess and the Frog
Rutt - Northern Moose,5,4,Amber,Common,Character,Brother Bear
Kenai - Big Brother,5,5,Amber,Common,Character,Brother Bear
Vanellope von Schweetz - Sugar Rush Champ,5,6,Amber,Common,Character,Wreck it Ralph
Tuke - Northern Moose,5,7,Amber,Common,Character,Brother Bear
Lilo - Junior Cake Decorator,5,8,Amber,Common,Character,Lilo and Stitch
Vanellope von Schweetz - Candy Mechanic,5,9,Amber,Common,Character,Wreck it Ralph
"Fix-it Felix, Jr. - Trusty Builder",5,10,Amber,Common,Character,Wreck it Ralph
Gazelle - Pop Star,5,11,Amber,Common,Character,Zootopia
"Fix-it Felix, Jr. - Niceland Steward",5,12,Amber,Uncommon,Character,Wreck it Ralph
Kristoff - Reindeer Keeper,5,13,Amber,Rare,Character,Frozen
Mirabel Madrigal - Family Gatherer,5,14,Amber,Legendary,Character,Encanto
Minnie Mouse - Drum Major,5,15,Amber,Super Rare,Character,Classic Disney
Daisy Duck - Donald's Date,5,16,Amber,Super Rare,Character,Classic Disney
"Fix-it Felix, Jr. - Delighted Sightseer",5,17,Amber,Common,Character,Wreck it Ralph
Moana - Determined Explorer,5,18,Amber,Rare,Character,Moana
Vanellope von Schweetz - Sugar Rush Princess,5,19,Amber,Rare,Character,Wreck it Ralph
Alan-a-dale - Rockin Rooster,5,20,Amber,Uncommon,Character,Robin Hood
Wreck-it Ralph - Admiral Underpants,5,21,Amber,Rare,Character,Wreck it Ralph
Maid Marian - Lady of the Lists,5,22,Amber,Uncommon,Character,Robin Hood
Sven - Reindeer Steed,5,23,Amber,Uncommon,Character,Frozen
Minnie Mouse - Compassionate Friend,5,24,Amber,Common,Character,Classic Disney
Maleficent - Formidable Queen,5,35,Amethyst,Super Rare,Character,Sleeping Beauty
The Nokk - Mythical Spirit,5,36,Amethyst,Common,Character,Frozen
Cogsworth - Illuminary Watchman,5,37,Amethyst,Common,Character,Beauty and the Beast
Merlin - Turtle,5,38,Amethyst,Common,Character,Sword in the Stone
Archimedes - Exasperated Owl,5,39,Amethyst,Common,Character,Sword in the Stone
Bruni - Fire Salamander,5,40,Amethyst,Uncommon,Character,Frozen
Earth Giant - Living Mountain,5,41,Amethyst,Common,Character,Frozen
Gale - Wind Spirit,5,42,Amethyst,Common,Character,Frozen
White Rabbit - Royal Herald,5,43,Amethyst,Common,Character,Alice in Wonderland
Madam Mim - Elephant,5,44,Amethyst,Super Rare,Character,Sword in the Stone
Luisa Madrigal - Entertaining Muscle,5,45,Amethyst,Rare,Character,Encanto
Anna - Mystical Majesty,5,46,Amethyst,Rare,Character,Frozen
Archimedes - Electrified Owl,5,47,Amethyst,Uncommon,Character,Sword in the Stone
Elsa - The Fifth Spirit,5,48,Amethyst,Super Rare,Character,Frozen
Genie - Main Attraction,5,49,Amethyst,Legendary,Character,Aladdin
Olaf - Happy Passenger,5,50,Amethyst,Rare,Character,Frozen
Maleficent - Vexed Partygoer,5,51,Amethyst,Uncommon,Character,Sleeping Beauty
Monstro - Whale of a Whale,5,52,Amethyst,Uncommon,Character,Pinocchio
Magica De Spell - Cruel Sorceress,5,53,Amethyst,Rare,Character,DuckTales
Maleficent - Vengeful Sorceress,5,54,Amethyst,Common,Character,Sleeping Beauty
Rafiki - Shaman Duelist,5,55,Amethyst,Rare,Character,Lion King
Anna - Eager Acolyte,5,56,Amethyst,Common,Character,Frozen
King of Hearts - Monarch of Wonderland,5,57,Amethyst,Uncommon,Character,Alice in Wonderland
Camilo Madrigal - Family Copycat,5,58,Amethyst,Legendary,Character,Encanto
Robin Hood - Timely Contestant,5,69,Emerald,Rare,Character,Robin Hood
Shenzi - Scar's Accomplice,5,70,Emerald,Uncommon,Character,Lion King
Little John - Camp Cook,5,71,Emerald,Uncommon,Character,Robin Hood
Zazu - Advisor to Mufasa,5,72,Emerald,Common,Character,Lion King
Ulf - Mime,5,73,Emerald,Common,Character,Tangled
Ed - Laughing Hyena,5,74,Emerald,Common,Character,Lion King
Flora - Good Fairy,5,75,Emerald,Common,Character,Sleeping Beauty
Robin Hood - Archery Contestant,5,77,Emerald,Common,Character,Robin Hood
Fauna - Good Fairy,5,78,Emerald,Common,Character,Sleeping Beauty
Iago - Fake Flamingo,5,79,Emerald,Rare,Character,Aladdin
Banzai - Gluttonous Predator,5,80,Emerald,Rare,Character,Lion King
Ed - Hysterical Partygoer,5,81,Emerald,Common,Character,Lion King
Scroop - Odious Mutineer,5,82,Emerald,Super Rare,Character,Treasure Planet
Prince Phillip - Swordsman of the Realm,5,83,Emerald,Super Rare,Character,Sleeping Beauty
Clarabelle - Light on Her Hooves,5,84,Emerald,Legendary,Character,Classic Disney
Anna - Diplomatic Queen,5,85,Emerald,Legendary,Character,Frozen
Clarabelle - Clumsy Guest,5,86,Emerald,Common,Character,Classic Disney
Banzai - Taunting Hyena,5,87,Emerald,Common,Character,Lion King
Robin Hood - Sneaky Sleuth,5,88,Emerald,Uncommon,Character,Robin Hood
Mother Gothel - Conceited Manipulator,5,89,Emerald,Uncommon,Character,Tangled
Clarabelle - Contented Wallflower,5,90,Emerald,Uncommon,Character,Classic Disney
Shenzi - Head Hyena,5,91,Emerald,Rare,Character,Lion King
Mother Gothel - Unwavering Schemer,5,92,Emerald,Super Rare,Character,Tangled
Scar - Vengeful Lion,5,93,Emerald,Rare,Character,Lion King
Taffyta Muttonfudge - Ruthless Rival,5,103,Ruby,Uncommon,Character,Wreck it Ralph
Wreck-it Ralph - Demolition Dude,5,104,Ruby,Rare,Character,Wreck it Ralph
Maximus - Team Champion,5,105,Ruby,Super Rare,Character,Tangled
Turbo - Royal Hack,5,106,Ruby,Uncommon,Character,Wreck it Ralph
Donald Duck - Pie Slinger,5,107,Ruby,Legendary,Character,Classic Disney
Rancis Fluggerbutter - Chocolate Charger,5,108,Ruby,Common,Character,Wreck it Ralph
Scar - Betrayer,5,109,Ruby,Uncommon,Character,Lion King
Snowanna Rainbeau - Cool Competitor,5,110,Ruby,Common,Character,Wreck it Ralph
Daisy Duck - Spotless Food-Fighter,5,111,Ruby,Common,Character,Classic Disney
Mickey Mouse - Enthusiastic Dancer,5,112,Ruby,Common,Character,Classic Disney
Ratigan - Raging Rat,5,113,Ruby,Common,Character,Great Mouse Detective
Taffyta Muttonfudge - Crowd Favorite,5,114,Ruby,Common,Character,Wreck it Ralph
Denahi - Avenging Brother,5,115,Ruby,Rare,Character,Brother Bear
Pete - Steamboat Rival,5,116,Ruby,Super Rare,Character,Classic Disney
Taffyta Muttonfudge - Sour Speedster,5,117,Ruby,Uncommon,Character,Wreck it Ralph
Robin Hood - Sharpshooter,5,118,Ruby,Legendary,Character,Robin Hood
Gaston - Pure Paragon,5,119,Ruby,Rare,Character,Beauty and the Beast
Pete - Pastry Chomper,5,120,Ruby,Common,Character,Classic Disney
Arthur - Novice Sparrow,5,121,Ruby,Uncommon,Character,Sword in the Stone
Donald Duck - Daisy's Date,5,122,Ruby,Common,Character,Classic Disney
Ratigan - Party Crasher,5,123,Ruby,Rare,Character,Great Mouse Detective
Vanellope Von Schweetz - Random Roster Racer,5,124,Ruby,Rare,Character,Wreck it Ralph
Simba - Adventurous Successor,5,125,Ruby,Common,Character,Lion King
Minnie Mouse - Dazzling Dancer,5,126,Ruby,Uncommon,Character,Classic Disney
King Candy - Sovereign of Sugar,5,137,Sapphire,Common,Character,Wreck it Ralph
Chaca - Impressive Daughter,5,138,Sapphire,Common,Character,Emperor's New Groove
The Queen - Cruelest of All,5,139,Sapphire,Common,Character,Snow White
Scrooge McDuck - Afficionado of Antiquities,5,140,Sapphire,Rare,Character,DuckTales
Prince John - Opportunistic Briber,5,141,Sapphire,Common,Character,Robin Hood
Merlin - Back from Bermuda,5,142,Sapphire,Common,Character,Sword in the Stone
Pacha - Emperor's Guide,5,143,Sapphire,Uncommon,Character,Emperor's New Groove
The Queen - Fairest of All,5,144,Sapphire,Super Rare,Character,Snow White
Sheriff Of Nottingham - Bushel Britches,5,145,Sapphire,Rare,Character,Robin Hood
Chicha - Dedicated Mother,5,146,Sapphire,Rare,Character,Emperor's New Groove
Prince John - Gold Lover,5,147,Sapphire,Super Rare,Character,Robin Hood
The Queen - Crown of the Council,5,148,Sapphire,Rare,Character,Snow White
Kuzco - Selfish Emperor,5,149,Sapphire,Super Rare,Character,Emperor's New Groove
Mufasa - Ruler of Pride Rock,5,150,Sapphire,Legendary,Character,Lion King
Ludwig Von Drake - Self-Proclaimed Genius,5,151,Sapphire,Uncommon,Character,DuckTales
Minnie Mouse - Quick-Thinking Inventor,5,152,Sapphire,Common,Character,Classic Disney
Basil - Practiced Detective,5,153,Sapphire,Common,Character,Great Mouse Detective
King Candy - Sweet Abomination,5,154,Sapphire,Uncommon,Character,Wreck it Ralph
Donald Duck - Focused Flatfoot,5,155,Sapphire,Common,Character,Classic Disney
Tanana - Wise Woman,5,156,Sapphire,Common,Character,Brother Bear
Tipo - Growing Son,5,157,Sapphire,Uncommon,Character,Emperor's New Groove
Belle - Of the Ball,5,158,Sapphire,Rare,Character,Beauty and the Beast
